#Front	Back	Pronunciation
Добрый день (утро)	Dzien dobry	Джень добры
…меня зовут…	…nazymam sie,…	называм ше»
Можно встретиться с вами сегодня в… часов (завтра вечером)?	Czy moz’emy sie, spotkac’ dzis’ о godzinie… (jutro wieczorem)?	чы можэмы ще» споткачь джищ о годжине (ютро вечорэм)
Когда мы ещё можем встретиться?	Kiedy jeszcze moz’emy sie, spotkac’?	кеды ещчэ можэмы ще» споткачь
страны света	strony s’wiata	строны щфята
север	po’l’noc	пулноц
юг	poludnie	полудне
запад	zacho’d	захут
восток	wscho’d	фсхут
Как мне дойти до стоянки экскурсионных автобусов?	Jak trafic па przystanek autokarow wycieczkowych?	Яктрафич на пшистанэк автокарув вычечковых?
Бюро путешествий. Справочное бюро	Biuro podro’zy. Informacja.	бюро подружы информация
